FID,Field1,FID_,Inspection,License__,Risk,Zip,Latitude,Longitude,Pass,Violation,exp,Type,year_built,str_name,d_rodent,d_14crime,d_14san_co,d_14en_com,count_insp,PassProb,FailProb,FailRank,FID_1,Inspection_1,DBA_Name,AKA_Name,License__1,Facility_T,Address,City,State,Zip_1,Latitude_1,Longitude_1,Violation_1,Risk1,Type_1,Pass1,d_13fail,d_cri14,d_sancom14
2363,966,965,1490298,37508,Risk 1 (High),60613,41.954236580000000,-87.664864739999999,1,1,0,Canvass,1915,IRVING,482.692700000000000,281.778900000000020,532.672500000000010,2232.447900000000100,2,63.37%,36.63%,2364,6779,1490298,DOMINO'S PIZZA,DOMINO'S PIZZA,37508,Restaurant,1415 W IRVING PARK RD,CHICAGO,IL,60613,41.954236577700001,-87.664864740200002,1,1,Canvass,1,732.908999999999990,281.778799999999990,20207.507300000001000
2364,5923,5922,1199487,2203492,Risk 1 (High),60661,41.884187509999997,-87.641119669999995,0,1,0,Canvass Re-Inspection,2000,CLINTON,1290.100500000000000,799.347800000000010,698.989600000000000,1672.906099999999900,2,63.37%,36.63%,2365,4479,1199487,LILLIE'S Q,LILLIE'S Q,2203492,Restaurant,131 N CLINTON ST,CHICAGO,IL,60661,41.884187507100002,-87.641119666799995,1,1,Canvass Re-Inspection,1,670.398299999999950,799.348200000000020,179.741999999999990
2365,7193,7192,1464314,2321213,Risk 1 (High),60660,41.990135799999997,-87.659770980000005,1,1,0,Complaint,1918,THORNDALE,915.489000000000030,820.870900000000010,381.245400000000020,1700.627000000000000,2,63.39%,36.61%,2366,7481,1464314,RICE THAI ASIAN KITCHEN,,2321213,Restaurant,1136 W THORNDALE AVE,CHICAGO,IL,60660,41.990135796300002,-87.659770977500003,1,1,Complaint,1,127.986900000000010,820.871300000000020,534.276299999999990
2366,2548,2547,1453325,1546717,Risk 1 (High),60605,41.868834100000001,-87.626008949999999,1,1,1,Complaint,1908,WABASH,658.188499999999980,428.308100000000020,334.459600000000020,1167.155900000000000,2,63.39%,36.61%,2367,8925,1453325,ELEVEN CITY DINER,ELEVEN CITY DINER,1546717,Restaurant,1112 S WABASH AVE,CHICAGO,IL,60605,41.868834104900003,-87.626008950400006,1,1,Complaint,1,515.342499999999970,428.309100000000000,495.799399999999990
2367,7077,7076,1497918,2314247,Risk 1 (High),60613,41.954208739999999,-87.666847270000005,1,1,0,Canvass,1923,IRVING,305.811399999999990,336.098299999999990,555.511100000000060,2069.689500000000000,2,63.40%,36.60%,2368,2464,1497918,THE ROOST,,2314247,Restaurant,1467 W IRVING PARK RD,CHICAGO,IL,60613,41.954208736600002,-87.666847265000001,1,1,Canvass,1,681.501399999999990,336.097300000000020,581.612899999999970
2368,1739,1738,1501317,1139807,Risk 2 (Medium),60611,41.898261620000000,-87.625164690000005,1,0,0,Canvass,1993,CHESTNUT,272.545900000000020,541.051000000000040,348.221299999999990,1460.920800000000100,2,63.41%,36.59%,2369,2038,1501317,STARBUCKS COFFEE #2484,STARBUCKS COFFEE #2484,1139807,Restaurant,111 E CHESTNUT ST,CHICAGO,IL,60611,41.898261619099998,-87.625164691899997,0,1,Canvass,1,319.270800000000010,541.051000000000040,799.967200000000050
2369,7294,7293,1512720,2328390,Risk 2 (Medium),60640,41.977994209999999,-87.660061200000001,1,1,0,Complaint,1988,BROADWAY,368.447299999999980,592.575799999999960,671.412900000000040,731.132299999999990,2,63.41%,36.59%,2370,560,1512720,CHICAGO GRIND,CHICAGO GRIND,2328390,Restaurant,5256 N BROADWAY,CHICAGO,IL,60640,41.977994210900000,-87.660061200700000,1,1,Complaint,1,846.922900000000030,592.575799999999960,671.413000000000010
2370,3623,3622,1501688,1898920,Risk 1 (High),60647,41.927492579999999,-87.704597039999996,1,1,0,Canvass,1911,MILWAUKEE,436.895899999999980,512.543000000000010,152.405399999999990,1585.526599999999900,2,63.42%,36.58%,2371,1585,1501688,ROCKING HORSE,ROCKING HORSE,1898920,Restaurant,2535 N MILWAUKEE AVE,CHICAGO,IL,60647,41.927492578799999,-87.704597039600003,1,1,Canvass,1,23.810600000000001,512.543199999999960,152.405399999999990
2371,3424,3423,1464600,1868819,Risk 1 (High),60660,41.994454689999998,-87.659289020000003,1,1,0,Complaint,1915,GRANVILLE,525.937999999999990,418.119599999999990,483.431300000000020,1871.950700000000100,2,63.42%,36.58%,2372,1038,1464600,SUMMER,SUMMER,1868819,Restaurant,1123 W GRANVILLE AVE,CHICAGO,IL,60660,41.994454688099999,-87.659289021700005,1,1,Complaint,1,446.766300000000000,418.119599999999990,483.430900000000010
2372,2084,2083,1502123,1332717,Risk 1 (High),60609,41.812660909999998,-87.684696200000005,1,1,0,Canvass,1924,WESTERN,458.657300000000020,424.098299999999990,636.127700000000000,3262.587700000000000,2,63.42%,36.58%,2373,1164,1502123,EL CHISME,EL CHISME,1332717,Restaurant,4440 S WESTERN AVE,CHICAGO,IL,60609,41.812660911499997,-87.684696203399994,1,1,Canvass,1,2792.336800000000000,424.097899999999980,636.127100000000040
2373,1041,1040,1512663,40565,Risk 1 (High),60618,41.954017659999998,-87.709461649999994,1,1,0,Canvass,1899,IRVING,99.194500000000005,586.684899999999970,607.620099999999980,2042.242700000000000,2,63.43%,36.57%,2374,612,1512663,GOLDEN NUGGET,GOLDEN NUGGET,40565,Restaurant,3234 W IRVING PARK RD,CHICAGO,IL,60618,41.954017661400002,-87.709461653100007,1,1,Canvass,1,1312.879600000000000,586.684999999999950,607.620099999999980
2374,131,130,1482276,3866,Risk 1 (High),60640,41.965306599999998,-87.656117969999997,0,1,0,Canvass Re-Inspection,1906,WILSON,578.418199999999960,599.981999999999970,184.100300000000000,2009.956100000000100,2,63.43%,36.57%,2375,6124,1482276,UPTOWN PIZZA & BQ,UPTOWN PIZZA & BQ,3866,Restaurant,1031 W WILSON AVE,CHICAGO,IL,60640,41.965306602699997,-87.656117969400000,1,1,Canvass Re-Inspection,1,563.121300000000020,599.981599999999960,674.825299999999970
2375,2611,2610,1515289,1577622,Risk 1 (High),60625,41.967614959999999,-87.679005790000005,1,1,0,Canvass,1915,DAMEN,349.639400000000020,410.706000000000020,564.587300000000030,1961.248900000000000,2,63.43%,36.57%,2376,143,1515289,SHANGHAI INN RESTAURANT,SHANGHAI INN RESTAURANT,1577622,Restaurant,4723 N DAMEN AVE,CHICAGO,IL,60625,41.967614958900000,-87.679005794399998,1,1,Canvass,1,1065.662300000000000,410.705699999999980,564.587099999999960
