FID,Inspection,DBA_Name,AKA_Name,License__,Facility_T,Address,City,State,Zip,Latitude,Longitude,Violation,Risk1,Type,Pass1,d_13fail,d_cri14,d_sancom14
7514,1473738,TAQUERIA KAIROS,TAQUERIA KAIROS,2151959,Restaurant,5526 S ARCHER AVE,CHICAGO,IL,60638,41.798075437900003,-87.747752735899994,1,1,Canvass,1,2461.108099999999900,335.008199999999990,308.485799999999980
7515,1473736,DUNKIN DONUTS,DUNKIN DONUTS,32536,Restaurant,3101 W IRVING PARK RD,CHICAGO,IL,60618,41.953825421399998,-87.705634137299995,1,1,Short Form Complaint,1,971.913599999999970,583.849200000000000,601.401600000000030
7516,1467336,WHITE PALACE GRILL,WHITE PALACE GRILL,1096426,Restaurant,1159 S CANAL ST,CHICAGO,IL,60607,41.867319405300002,-87.639056745999994,1,1,Complaint Re-Inspection,1,454.710899999999980,1334.572899999999900,598.128900000000040
7517,1199391,BOMBAY WRAPS, ,2333632,Restaurant,330 E OHIO ST,CHICAGO,IL,60611,41.892728743500001,-87.619025351399998,0,1,License,1,350.334999999999980,343.761700000000020,245.883199999999990
7518,1473737,NICKYS HOT DOGS,NICKY'S HOT DOGS,2334449,Restaurant,3140 W 47TH ST,CHICAGO,IL,60632,41.808244491600000,-87.703168859599998,1,1,License,0,1055.544300000000000,546.840100000000010,1170.445800000000000
7519,1387530,BURGER KING #1250,BURGER KING #1250,1648880,Restaurant,418 E 79TH ST,CHICAGO,IL,60619,41.751240621400001,-87.614123422099993,1,1,Canvass Re-Inspection,1,162.167100000000000,334.226600000000020,448.713500000000010
7520,1325071,CHIPOTLE MEXICAN GRILL,CHIPOTLE MEXICAN GRILL,1382290,Restaurant,1733 N DAMEN AVE,CHICAGO,IL,60647,41.913283896000003,-87.677380278300006,1,1,Complaint,1,316.824900000000010,564.828200000000040,180.890199999999990
7521,1473742,SEOUL COREA RESTAURANT,SEOUL COREA RESTAURANT,1479631,Restaurant,1603 E 55TH ST,CHICAGO,IL,60615,41.795076280000004,-87.587441896599998,1,1,Canvass,1,1265.510000000000000,465.619100000000000,291.362900000000020
7522,1453376,MA&I,MA&I,1737178,Restaurant,1234 S MICHIGAN AVE,CHICAGO,IL,60605,41.866489279299998,-87.624279304799998,1,1,Canvass,0,391.430200000000010,430.240999999999990,327.911600000000020
7523,1441253,CESAR'S ON BROADWAY,CESAR'S ON BROADWAY,1492853,Restaurant,2924-2926 N BROADWAY,CHICAGO,IL,60657,41.935631857700002,-87.644398078699993,1,1,Short Form Complaint,1,249.635200000000000,243.453599999999990,316.299300000000020
7524,1453377,WABASH TAP,WABASH TAP,70403,Restaurant,1233 S WABASH AVE,CHICAGO,IL,60605,41.866520395599998,-87.625663197899996,1,1,Canvass,1,251.044900000000010,407.373400000000000,840.967200000000050
7525,1424328,G.T.S.,GT'S,2299346,Restaurant,5016 N Pulaski RD,CHICAGO,IL,60630,41.972405855300003,-87.728291500599994,1,1,Canvass,1,1712.218499999999900,715.705500000000030,561.549099999999950
7526,1441254,"MISTA PIZZA,LLC",MISTA PIZZA,2113879,Restaurant,2921 N BROADWAY,CHICAGO,IL,60657,41.935558161899998,-87.644101580699996,1,1,Canvass,1,279.424100000000010,280.610200000000020,191.047400000000010
7527,1482214,UDUPI PALACE RESTAURANT,UDUPI PALACE RESTAURANT,30962,Restaurant,2543 W DEVON AVE,CHICAGO,IL,60659,41.997550033000003,-87.694023946499996,1,1,Complaint,0,207.391099999999990,525.917800000000060,331.401000000000010
7528,1387525,WHITE CASTLE #58,WHITE CASTLE #58,28487,Restaurant,10301 S MICHIGAN AVE,CHICAGO,IL,60628,41.707156861599998,-87.620070478100004,1,1,Canvass,1,809.455000000000040,542.996700000000030,768.164999999999960
7529,1473660,FIESTA TAPATIA,FIESTA TAPATIA,25582,Restaurant,2752 W CERMAK RD,CHICAGO,IL,60608,41.852014908299999,-87.695131259099995,1,1,Canvass,1,1239.943199999999900,408.053699999999990,523.160499999999960
7530,1473665,CAFE CON LECHE D'  NOCHE,CAFE CON LECHE & D' NOCHE,2004043,Restaurant,2710-2714 N MILWAUKEE AVE,CHICAGO,IL,60647,41.930392307900000,-87.709805175499994,1,1,Canvass Re-Inspection,1,154.459200000000010,211.105200000000000,1112.870799999999900
7531,1473668,LA CENTRAL BAKERY,LA CENTRAL BAKERY,2103790,Restaurant,2422 W 47TH ST,CHICAGO,IL,60632,41.808535686799999,-87.685310696000002,1,1,Canvass,1,2544.655699999999800,669.876399999999990,648.641499999999950
7532,1473669,CHICAGO PITA KITCHEN,FORD MOTOR CO,2048630,Restaurant,12600 S TORRENCE AVE,CHICAGO,IL,60633,41.666112991200002,-87.559003080300002,1,1,Complaint Re-Inspection,1,4218.609599999999800,1580.837700000000000,840.967200000000050
7533,1473667,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,9,Restaurant,116 S MICHIGAN AVE,CHICAGO,IL,60603,41.880395838299997,-87.624501721599998,1,1,Canvass,1,289.772400000000000,781.484400000000050,218.831300000000000
7534,1473671,KYOTO SUSHI RESTAURANT,KYOTO SUSHI RESTAURANT,1892169,Restaurant,2534 N LINCOLN AVE,CHICAGO,IL,60614,41.927764061200001,-87.652216627900003,1,1,Canvass,1,295.050799999999980,422.776400000000020,212.312199999999990
7535,1199389,PELAGO,PELAGO,1954028,Restaurant,201 E DELAWARE PL,CHICAGO,IL,60611,41.899135254699999,-87.621785262399996,1,1,Canvass Re-Inspection,1,135.290699999999990,300.563300000000030,529.595800000000050
7536,1473673,THE PROMONTORY,THE PROMONTORY,2269538,Restaurant,5307-5319 S LAKE PARK AVE,CHICAGO,IL,60615,41.799317592100003,-87.587134142099998,1,1,License,0,233.835100000000010,462.244199999999980,432.898399999999980
7537,1325069,SUBWAY,SUBWAY,1594765,Restaurant,1118 S KEDZIE AVE,CHICAGO,IL,60612,41.867666688800000,-87.705854731900004,1,1,Complaint,1,1842.393200000000000,515.129400000000030,74.958699999999993
7538,1473679,L & M REDHOTS,L & M REDHOTS,1491623,Restaurant,5125 W 47TH ST,CHICAGO,IL,60638,41.807401021099999,-87.751656370299997,1,1,Canvass,1,3930.649600000000200,368.100700000000020,288.063199999999990
7539,1473678,"NEW ZAIKA RESTAURANT, INC.",NEW ZAIKA RESTAURANT,2129915,Restaurant,1316 N CLYBOURN AVE,CHICAGO,IL,60610,41.905997075300000,-87.642883465300002,1,1,Complaint,1,1633.713199999999900,562.621700000000030,587.985699999999950
7540,1372581,THE MID-AMERICA CLUB,THE MID-AMERICA CLUB,1801753,Restaurant,200 E RANDOLPH ST,CHICAGO,IL,60601,41.884632075799999,-87.622247991099997,1,1,Canvass,1,111.783900000000000,819.740099999999980,121.783900000000000
7541,1473681,PAPA T'S ITALIANO,PAPA T'S ITALIANO,1166821,Restaurant,2843 - 2847 W 63RD ST,CHICAGO,IL,60629,41.778980820699999,-87.695090042999993,1,1,Canvass,0,1239.993999999999900,286.723000000000010,338.402300000000030
7542,1473676,MARISCOS EL KORA INC,MARISCOS EL KORA,1974111,Restaurant,3016-3018 W 47th ST,CHICAGO,IL,60632,41.808297885199998,-87.699832431199994,1,1,Canvass,1,1743.372000000000100,417.959999999999980,599.080799999999950
7543,1473675,NICK'S PIT STOP,NICK'S PIT STOP,1898377,Restaurant,2011 N DAMEN AVE,CHICAGO,IL,60647,41.918110818800002,-87.677486697299997,1,1,Canvass,1,539.967400000000000,311.943600000000000,342.568699999999980
7544,1473680,LITTLE BABA'S PHILLY STEAK,LITTLE BABAS FAMOUS STEAK & LEMONADE,2308505,Restaurant,2660 E 79TH ST,CHICAGO,IL,60649,41.751937933599997,-87.559086945700003,1,1,Canvass Re-Inspection,1,2330.130200000000100,314.586000000000010,265.603200000000020
7545,1473683,CHICAGO'S HOME OF CHICKEN & WAFFLES,CHICAGO'S HOME OF CHICKEN & WAFFLES,1879470,Restaurant,3947 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60653,41.822547857300002,-87.616815618399997,1,1,Complaint Re-Inspection,1,815.188400000000000,567.259000000000010,517.895800000000010
7546,1473682,THE LAGUNITAS BREWING COMPANY,LAGUNITAS BREWING COMPANY,2327006,Restaurant,1843 S WASHTENAW AVE,CHICAGO,IL,60608,41.856210521500003,-87.692985032199999,1,1,License,1,2163.517800000000100,740.005599999999960,1781.644399999999900
7547,1473685,RUSTIC HOUSE,THE MEXICAN HOMESTYLE FOOD & DRINK,2083397,Restaurant,1967 N HALSTED,CHICAGO,IL,60614,41.917864134699997,-87.648348547900000,1,1,Canvass,1,797.126099999999950,839.755000000000000,706.763299999999960
7548,1296953,EAT AND RUN  NFP,EAT AND RUN NFP,1986439,Restaurant,1733 W 87TH ST,CHICAGO,IL,60620,41.735629164499997,-87.666846427799996,1,1,Complaint,0,1710.436400000000000,510.258199999999990,169.958100000000000
